city,country,state,state_abbrev
Ada,United States,Michigan,MI
Addison,United States,Michigan,MI
Adrian,United States,Michigan,MI
Adrian,United States,Michigan,MI
Albion,United States,Michigan,MI
Albion,United States,Michigan,MI
Algoma Township,United States,Michigan,MI
Algonac,United States,Michigan,MI
Allegan,United States,Michigan,MI
Allegan,United States,Michigan,MI
Allegan,United States,Michigan,MI
Alma,United States,Michigan,MI
Alpena,United States,Michigan,MI
Ann Arbor,United States,Michigan,MI
Ann Arbor,United States,Michigan,MI
Assininns,United States,Michigan,MI
Atlanta,United States,Michigan,MI
Augusta,United States,Michigan,MI
Battle Creek,United States,Michigan,MI
Battle Creek,United States,Michigan,MI
Bay City,United States,Michigan,MI
Bay City,United States,Michigan,MI
Bay City,United States,Michigan,MI
Bellaire,United States,Michigan,MI
Dearborn,United States,Michigan,MI
Dearborn,United States,Michigan,MI
Dearborn,United States,Michigan,MI
Belding,United States,Michigan,MI
Belleville,United States,Michigan,MI
Belleville,United States,Michigan,MI
Belleville,United States,Michigan,MI
Belleville,United States,Michigan,MI
Berville,United States,Michigan,MI
Big Rapids,United States,Michigan,MI
Big Rapids,United States,Michigan,MI
Big Rapids,United States,Michigan,MI
Birmingham,United States,Michigan,MI
Bloomfield,United States,Michigan,MI
Bloomfield,United States,Michigan,MI
Borculo,United States,Michigan,MI
Breckenridge,United States,Michigan,MI
Bridgeport,United States,Michigan,MI
Bridgeport,United States,Michigan,MI
Brighton,United States,Michigan,MI
Brimley,United States,Michigan,MI
Brooklyn,United States,Michigan,MI
Brownstown,United States,Michigan,MI
Brownstown,United States,Michigan,MI
Brownstown,United States,Michigan,MI
Burton,United States,Michigan,MI
Byron,United States,Michigan,MI
Calumet,United States,Michigan,MI
Canton,United States,Michigan,MI
Canton,United States,Michigan,MI
Canton,United States,Michigan,MI
Canton,United States,Michigan,MI
Cass City,United States,Michigan,MI
Central Lake,United States,Michigan,MI
Charlevoix,United States,Michigan,MI
Charlotte,United States,Michigan,MI
Charlotte,United States,Michigan,MI
Cheboygan,United States,Michigan,MI
Cheboygan,United States,Michigan,MI
Cheboygan,United States,Michigan,MI
Chelsea,United States,Michigan,MI
Chelsea,United States,Michigan,MI
Chelsea,United States,Michigan,MI
